CountyFIPS,Length,CountyFIPS_Final,% below 18 years of age raw value,State FIPS Code,Diabetes prevalence raw value,Unemployment raw value,% rural raw value,Adult obesity raw value,Adult smoking raw value,Frequent mental distress raw value,High school completion raw value,Life_Expectancy_3Cat,Life_Expectancy_2Cat,Median household income raw value,Physical inactivity raw value,Population raw value,Uninsured raw value,Cat_Unemploy,Cat_pop,Cat_Income,Life expectancy raw value
1023,4,01023,0.1970526655,1,0.147,0.0666522398,1,0.397,0.246,0.201,0.8269459139,Low,Low,41649,0.378,12418,0.1218562559,High Unemployment,Small-Medium,<50k,74.214010199
1025,4,01025,0.2127431197,1,0.148,0.0901016862,0.7598033523,0.444,0.25,0.2,0.8261390169,Low,Low,44178,0.396,23291,0.1195022992,High Unemployment,Small-Medium,<50k,71.737339284
1027,4,01027,0.2032489323,1,0.129,0.0402761795,1,0.371,0.256,0.204,0.8126133817,Low,Low,44763,0.371,13112,0.1437172266,Low Unemployment,Small-Medium,<50k,72.89639799
1029,4,01029,0.228502706,1,0.111,0.0456684678,1,0.356,0.238,0.193,0.8218827102,Low,Low,50134,0.336,14967,0.1279632934,Low Unemployment,Small-Medium,50-60k,74.346662647
1033,4,01033,0.2093627619,1,0.115,0.065795059,0.4389468656,0.359,0.215,0.184,0.8569491005,Low,Low,54185,0.332,55411,0.1075741694,High Unemployment,Large,50-60k,73.875034169
1035,4,01035,0.2036958906,1,0.149,0.0730845661,0.8094950106,0.41,0.251,0.198,0.8495354634,Low,Low,34664,0.395,11851,0.1224804494,High Unemployment,Small-Medium,<50k,71.194267398
1037,4,01037,0.1624413146,1,0.131,0.0551001821,1,0.392,0.237,0.189,0.8316628427,Low,Low,46509,0.348,10650,0.1128419453,Low Unemployment,Small-Medium,<50k,73.925127489
1039,4,01039,0.2190089358,1,0.121,0.0486422357,0.6965179399,0.366,0.247,0.197,0.8534476219,Low,Low,43544,0.356,36930,0.1253212921,Low Unemployment,Large,<50k,72.917641871
1041,4,01041,0.2255683064,1,0.129,0.0570925956,1,0.356,0.24,0.191,0.7882073523,Low,Low,45927,0.356,13681,0.1338489536,Low Unemployment,Small-Medium,<50k,72.58910799
1043,4,01043,0.2224220553,1,0.108,0.0430696946,0.7323955924,0.332,0.234,0.188,0.8226361821,Low,Low,51844,0.336,84515,0.1337113509,Low Unemployment,Large,50-60k,73.914253636
1045,4,01045,0.2283134868,1,0.128,0.0487204249,0.5088853953,0.381,0.22,0.18,0.8531412207,Low,Low,48493,0.329,48959,0.1202789808,Low Unemployment,Large,<50k,74.908845911
1047,4,01047,0.2325890631,1,0.173,0.1073944866,0.4563897764,0.474,0.243,0.199,0.8394830346,Low,Low,37679,0.412,36098,0.1111073277,High Unemployment,Large,<50k,71.087503782
1049,4,01049,0.2396103715,1,0.13,0.0451587715,0.901306445,0.353,0.25,0.2,0.7802550408,Low,Low,47156,0.405,71658,0.1865705117,Low Unemployment,Large,<50k,73.842478266
1053,4,01053,0.2230368512,1,0.145,0.0597799765,0.6351157389,0.387,0.246,0.198,0.8035248804,Low,Low,41212,0.391,36281,0.1415421704,Low Unemployment,Large,<50k,72.208512051
1055,4,01055,0.2135175001,1,0.119,0.0767606326,0.3748348176,0.345,0.235,0.191,0.8532858647,Low,Low,47872,0.339,102371,0.1274151371,High Unemployment,Large,<50k,72.537031187
1057,4,01057,0.2112554646,1,0.123,0.0496799756,0.8023316513,0.371,0.245,0.199,0.8419460767,Low,Low,45937,0.354,16241,0.119958635,Low Unemployment,Small-Medium,<50k,73.059710184
1059,4,01059,0.2472466436,1,0.127,0.0442318358,0.7036651527,0.379,0.228,0.187,0.7867685444,Low,Low,40448,0.372,31507,0.1541642286,Low Unemployment,Large,<50k,73.676389027
1061,4,01061,0.2166521525,1,0.121,0.040978311,0.8964165733,0.359,0.252,0.201,0.8181185788,Low,Low,39882,0.354,26411,0.1459121327,Low Unemployment,Large,<50k,72.630878775
1063,4,01063,0.2147684606,1,0.205,0.1087893864,1,0.47,0.282,0.22,0.8092926491,Low,Low,33609,0.459,7990,0.1164856861,High Unemployment,Small-Medium,<50k,72.860772885
1065,4,01065,0.2327880027,1,0.161,0.0941563786,0.8916878173,0.438,0.258,0.2,0.8066447172,Low,Low,41836,0.395,14670,0.1158250911,High Unemployment,Small-Medium,<50k,72.54515094
1071,4,01071,0.2056143616,1,0.122,0.0526707531,0.7701730325,0.386,0.241,0.201,0.8346180799,Low,Low,46606,0.357,51582,0.1376624017,Low Unemployment,Large,<50k,73.268808729
1073,4,01073,0.2272675946,1,0.126,0.0622711318,0.0983376515,0.342,0.176,0.162,0.9051499848,Low,Low,57802,0.304,655342,0.1069118896,High Unemployment,V Large,50-60k,74.060552348
1079,4,01079,0.2155705025,1,0.124,0.0489452064,0.9128978712,0.355,0.256,0.202,0.8078287253,Low,Low,48924,0.35,32857,0.1477866061,Low Unemployment,Large,<50k,72.860354717
1085,4,01085,0.2191681361,1,0.179,0.1332969134,1,0.458,0.256,0.203,0.8219674985,Low,Low,37499,0.428,9641,0.1080727463,High Unemployment,Small-Medium,<50k,70.301468043
1087,4,01087,0.1743503772,1,0.175,0.0958700236,0.5554726832,0.404,0.23,0.19,0.8356520282,Low,Low,37736,0.386,17895,0.107114499,High Unemployment,Small-Medium,<50k,71.278186331
1091,4,01091,0.2213740458,1,0.15,0.0624517126,0.6931564179,0.436,0.239,0.191,0.8544337812,Low,Low,43198,0.398,18733,0.1107904979,High Unemployment,Small-Medium,<50k,71.033099769
1093,4,01093,0.2067804599,1,0.115,0.0507135185,0.8885495191,0.359,0.243,0.2,0.81095929,Low,Low,44333,0.342,29703,0.1232924694,Low Unemployment,Large,<50k,73.078828998
1095,4,01095,0.2512011548,1,0.124,0.0416713721,0.5326868704,0.38,0.223,0.184,0.8332452349,Low,Low,51417,0.362,96990,0.1540003807,Low Unemployment,Large,50-60k,73.893120847
1097,4,01097,0.2322832165,1,0.131,0.0792164793,0.2002024252,0.364,0.214,0.178,0.8730248932,Low,Low,50871,0.321,412716,0.1267944286,High Unemployment,V Large,50-60k,74.441641678
1099,4,01099,0.2070482428,1,0.151,0.0816162697,0.790445639,0.411,0.253,0.201,0.8346606766,Low,Low,38812,0.412,20459,0.129451246,High Unemployment,Small-Medium,<50k,73.288869531
1103,4,01103,0.2285728585,1,0.115,0.0447206234,0.3859737217,0.345,0.206,0.176,0.8404528083,Low,Low,55688,0.312,119883,0.1280568544,Low Unemployment,Large,50-60k,74.195469777
1105,4,01105,0.2031771613,1,0.189,0.1085248763,1,0.462,0.254,0.211,0.7835051546,Low,Low,33712,0.434,8687,0.1213068626,High Unemployment,Small-Medium,<50k,70.790399594
1107,4,01107,0.1912797454,1,0.146,0.0651436031,1,0.401,0.234,0.191,0.8285138329,Low,Low,41870,0.383,19793,0.1237920576,High Unemployment,Small-Medium,<50k,73.91421578
1109,4,01109,0.1904386337,1,0.139,0.0493732412,0.5167938235,0.363,0.206,0.185,0.8735370274,Low,Low,43141,0.338,32966,0.1353558023,Low Unemployment,Large,<50k,73.931379851
1111,4,01111,0.2089877836,1,0.12,0.0474824729,0.8134246934,0.345,0.233,0.19,0.8192334146,Low,Low,46679,0.347,22920,0.1227533027,Low Unemployment,Small-Medium,<50k,73.921619865
1113,4,01113,0.2396586363,1,0.147,0.0514893617,0.354089939,0.385,0.217,0.187,0.8527749491,Low,Low,40821,0.363,58237,0.1126363449,Low Unemployment,Large,<50k,73.380676587
1115,4,01115,0.2229030516,1,0.108,0.0494866939,0.7279676528,0.352,0.231,0.182,0.8576402259,Low,Low,61973,0.318,90739,0.1019627662,Low Unemployment,Large,>60k,74.738053073
1117,4,01117,0.2289683328,1,0.09,0.0385977834,0.2294487018,0.302,0.153,0.146,0.9320797613,High,High,88444,0.236,221428,0.0874396987,Low Unemployment,Large,>60k,80.261566455
1119,4,01119,0.1931288344,1,0.178,0.0697576396,1,0.435,0.232,0.198,0.8526838187,Low,Low,32275,0.395,12225,0.1321471195,High Unemployment,Small-Medium,<50k,71.90939336
1121,4,01121,0.206938801,1,0.132,0.070093846,0.5581533825,0.371,0.25,0.196,0.8180538479,Low,Low,44802,0.36,79985,0.1120742337,High Unemployment,Large,<50k,72.926037062
1123,4,01123,0.2030996935,1,0.129,0.0693573668,0.7422625913,0.386,0.236,0.193,0.8121679342,Low,Low,46654,0.366,40133,0.121483252,High Unemployment,Large,<50k,73.926745977
1127,4,01127,0.2210696356,1,0.115,0.0581259798,0.7408799964,0.353,0.259,0.204,0.8166031817,Low,Low,46519,0.362,63143,0.1324705742,Low Unemployment,Large,<50k,69.629256842
1131,4,01131,0.2275132275,1,0.186,0.1473354232,1,0.454,0.275,0.213,0.792776204,Low,Low,31909,0.441,10206,0.1157516421,High Unemployment,Small-Medium,<50k,69.845386462
1133,4,01133,0.1999744768,1,0.12,0.047419387,0.8489217448,0.383,0.263,0.207,0.7843969981,Low,Low,46453,0.377,23508,0.1304181679,Low Unemployment,Small-Medium,<50k,74.823226352
2000,4,02000,0.2444492162,2,0.071,0.0782810184,0.3398021207,0.307,0.1732177599,0.1202979151,0.931374577,High,High,79961,0.216,731158,0.126760631,High Unemployment,V Large,>60k,78.615640554
2013,4,02013,0.0705674802,2,0.129,0.0396353547,1,0.315,0.195,0.12,0.8662131519,High,High,79128,0.281,3401,0.2328951803,Low Unemployment,Small,>60k,112.50385595
2016,4,02016,0.1198943662,2,0.108,0.04528403,1,0.277,0.168,0.11,0.918013308,High,High,92216,0.238,5680,0.1769415532,Low Unemployment,Small-Medium,>60k,91.47865596
2020,4,02020,0.2383810237,2,0.083,0.073932557,0.0411717942,0.307,0.153,0.124,0.9399256544,High,High,84577,0.205,287095,0.1114271977,High Unemployment,V Large,>60k,78.683915473
2050,4,02050,0.3543418127,2,0.16,0.1156110872,0.7393757715,0.383,0.349,0.209,0.8345696576,Low,Low,52214,0.326,18437,0.1675077522,High Unemployment,Small-Medium,50-60k,70.711690412
2068,4,02068,0.1691494474,2,0.085,0.1573529412,1,0.284,0.178,0.132,0.9774919614,High,High,80192,0.199,2081,0.1151481274,High Unemployment,Small,>60k,89.085612122
2070,4,02070,0.3155390027,2,0.132,0.0820895522,1,0.357,0.307,0.181,0.8652653343,Low,Low,72334,0.277,4833,0.1551132464,High Unemployment,Small,>60k,70.240750907
2090,4,02090,0.236756542,2,0.081,0.06358692,0.3087076378,0.304,0.176,0.131,0.9445110492,High,High,76650,0.222,95651,0.1129526869,High Unemployment,Large,>60k,80.2125933
2100,4,02100,0.1740627391,2,0.082,0.1561886051,1,0.302,0.179,0.137,0.979555021,High,High,105044,0.196,2614,0.1263791374,High Unemployment,Small,>60k,84.359986653
2105,4,02105,0.1816907987,2,0.106,0.1352380952,,0.348,0.227,0.155,0.939793578,High,High,55593,0.236,2141,0.1998762376,High Unemployment,Small,50-60k,84.327972523
2110,4,02110,0.2070708656,2,0.076,0.0660192989,0.2154436451,0.275,0.151,0.124,0.9623567921,High,High,89204,0.167,31849,0.1139611715,High Unemployment,Large,>60k,81.074345674
2122,4,02122,0.2229945804,2,0.083,0.0908469686,0.7933754513,0.274,0.199,0.147,0.9298693096,High,High,68448,0.22,59414,0.137966538,High Unemployment,Large,>60k,79.226274401
2130,4,02130,0.2095729977,2,0.086,0.0961656442,0.2318765304,0.317,0.195,0.139,0.9388028896,High,High,76780,0.215,13747,0.1352390943,High Unemployment,Small-Medium,>60k,80.190629837
2150,4,02150,0.2415332512,2,0.091,0.0623973727,0.3131989406,0.292,0.165,0.124,0.8956414289,High,High,72028,0.23,12992,0.1821822713,High Unemployment,Small-Medium,>60k,80.545960366
2158,4,02158,0.4158261287,2,0.197,0.1935624184,,0.451,0.43,0.245,0.7857142857,Low,Low,37566,0.382,8328,0.1559609121,High Unemployment,Small-Medium,<50k,67.687245673
2170,4,02170,0.262210447,2,0.081,0.0833890654,0.5029383673,0.32,0.198,0.137,0.9355905512,High,High,89502,0.239,110213,0.1280095789,High Unemployment,Large,>60k,78.991712039
2180,4,02180,0.3418104753,2,0.14,0.1046600458,0.6605562579,0.418,0.308,0.186,0.8600904977,Low,Low,64309,0.288,9909,0.171899529,High Unemployment,Small-Medium,>60k,70.318965308
2188,4,02188,0.3626373626,2,0.15,0.119646499,0.5746377775,0.391,0.343,0.196,0.8452128911,Low,Low,65194,0.292,7644,0.1745132229,High Unemployment,Small-Medium,>60k,71.252485897
2195,4,02195,0.2123786408,2,0.081,0.0869257951,,0.282,0.181,0.133,0.8920660491,High,High,66096,0.205,3296,0.1667959659,High Unemployment,Small,>60k,80.638920457
2220,4,02220,0.2042831648,2,0.083,0.0689738625,0.2087602747,0.289,0.172,0.132,0.9524587486,High,High,79363,0.201,8405,0.1342651419,High Unemployment,Small-Medium,>60k,80.913571449
2261,4,02261,0.2303659319,2,0.079,0.0873507298,1,0.307,0.171,0.128,0.9558330795,High,High,,0.202,9346,0.1474695708,High Unemployment,Small-Medium,,78.045021011
2275,4,02275,0.1888446215,2,0.089,0.0843495935,,0.305,0.214,0.152,0.8827916889,High,High,64643,0.223,2510,0.1844504021,High Unemployment,Small,>60k,79.212160921
2290,4,02290,0.2802836321,2,0.136,0.1213171577,1,0.384,0.309,0.191,0.8799293702,Low,Low,43060,0.274,5077,0.1995381062,High Unemployment,Small-Medium,<50k,72.497379507
4000,4,04000,0.2218480042,4,0.098,0.0790060778,0.1019017941,0.319,0.1562910521,0.1497291861,0.8786809315,High,High,64652,0.236,7421401,0.1359148132,High Unemployment,V Large,>60k,79.061023365
4001,4,04001,0.2651130435,4,0.157,0.1278039119,0.7406107553,0.369,0.239,0.221,0.8145240862,Low,Low,36319,0.294,71875,0.2099020989,High Unemployment,Large,<50k,70.134960561
4003,4,04003,0.2096900745,4,0.113,0.0697567074,0.3630106741,0.339,0.176,0.151,0.8867388623,High,High,51171,0.272,127450,0.1152265611,High Unemployment,Large,50-60k,78.247948135
4007,4,04007,0.1930464247,4,0.112,0.0771610815,0.4106199974,0.312,0.198,0.164,0.8725968797,Low,Low,49280,0.272,54303,0.1484670476,High Unemployment,Large,<50k,72.677026021
4011,4,04011,0.2677443529,4,0.115,0.0547822182,0.4656868555,0.358,0.152,0.14,0.8515993707,High,High,67530,0.267,9341,0.0787014265,Low Unemployment,Small-Medium,>60k,79.922212028
4013,4,04013,0.2309354213,4,0.102,0.0739230272,0.0236379969,0.31,0.143,0.14,0.8838546659,High,High,71799,0.248,4579081,0.132513949,High Unemployment,V Large,>60k,79.637280503
4017,4,04017,0.2567700157,4,0.136,0.1013632203,0.5413824233,0.378,0.207,0.189,0.8384270975,Low,Low,46698,0.284,112112,0.1741085218,High Unemployment,Large,<50k,71.398138372
4019,4,04019,0.202385092,4,0.095,0.0772352724,0.0752349114,0.308,0.143,0.145,0.8902716306,High,High,56551,0.234,1061175,0.1327943406,High Unemployment,V Large,50-60k,78.472345648
4021,4,04021,0.2187809362,4,0.109,0.0753634717,0.2190462251,0.346,0.174,0.147,0.8705650017,High,High,66992,0.312,480828,0.1278726802,High Unemployment,V Large,>60k,81.797805936
4023,4,04023,0.263736968,4,0.145,0.1142621854,0.2688317166,0.371,0.145,0.147,0.7785904479,High,High,44402,0.321,46808,0.168986245,High Unemployment,Large,<50k,81.185355742
4025,4,04025,0.1558823774,4,0.084,0.0748422676,0.3319717769,0.278,0.172,0.148,0.9184178135,High,High,58860,0.244,240226,0.1483703323,High Unemployment,Large,50-60k,78.387383332
4027,4,04027,0.2478377038,4,0.134,0.1713208316,0.1042957635,0.384,0.151,0.152,0.7456010805,High,High,54278,0.297,217824,0.1774582859,High Unemployment,Large,50-60k,80.484502751
5001,4,05001,0.2310878444,5,0.116,0.0401188707,0.3470739787,0.368,0.237,0.193,0.8599514563,Low,Low,51186,0.336,17383,0.0977784274,Low Unemployment,Small-Medium,50-60k,72.94702319
5003,4,05003,0.2255028698,5,0.128,0.0929585305,0.516816913,0.391,0.242,0.196,0.851598677,Low,Low,44677,0.357,19339,0.1119183193,High Unemployment,Small-Medium,<50k,73.814209739
5007,4,05007,0.2576755525,5,0.095,0.0445023747,0.2516004861,0.298,0.164,0.149,0.8957280201,High,High,78678,0.265,288774,0.1113397793,Low Unemployment,V Large,>60k,79.47153427
5011,4,05011,0.2436319203,5,0.134,0.0583675331,0.4959158846,0.383,0.226,0.185,0.8332890189,Low,Low,41578,0.373,10639,0.131074244,Low Unemployment,Small-Medium,<50k,72.151960849
5013,4,05013,0.1811069822,5,0.12,0.0515251443,1,0.389,0.233,0.19,0.8396501458,Low,Low,50865,0.344,5113,0.0962732919,Low Unemployment,Small-Medium,50-60k,72.92553611
5017,4,05017,0.2183595324,5,0.157,0.1033846154,0.5427966102,0.446,0.252,0.201,0.7819105133,Low,Low,35992,0.389,9924,0.0944158195,High Unemployment,Small-Medium,<50k,72.207551561
5021,4,05021,0.212173913,5,0.113,0.0603370176,0.5885717839,0.376,0.25,0.208,0.8354043204,Low,Low,43723,0.353,14375,0.1011446968,High Unemployment,Small-Medium,<50k,73.030348193
5027,4,05027,0.2075779006,5,0.136,0.0684855849,0.5748615184,0.425,0.244,0.197,0.8680588839,Low,Low,44925,0.37,23331,0.0973317865,High Unemployment,Small-Medium,<50k,73.931945789
5035,4,05035,0.2691532258,5,0.143,0.0825121411,0.20887195,0.426,0.239,0.196,0.8372898922,Low,Low,47545,0.378,47616,0.0922170527,High Unemployment,Large,<50k,72.170411508
5037,4,05037,0.2337380746,5,0.12,0.0608969963,0.567879127,0.386,0.246,0.195,0.8141384131,Low,Low,40587,0.348,16142,0.0973682191,High Unemployment,Small-Medium,<50k,72.089328692
5039,4,05039,0.2097912379,5,0.131,0.053319209,0.5263676688,0.407,0.235,0.189,0.8715083799,Low,Low,34649,0.358,6802,0.0879544993,Low Unemployment,Small-Medium,<50k,73.848973866
5041,4,05041,0.2540054005,5,0.155,0.0700996053,0.3141912669,0.427,0.262,0.209,0.800958301,Low,Low,37421,0.405,11110,0.1091296546,High Unemployment,Small-Medium,<50k,72.152740246
5043,4,05043,0.2167769928,5,0.121,0.0690815006,0.4860878492,0.388,0.215,0.184,0.8668786525,Low,Low,46787,0.336,17977,0.086882332,High Unemployment,Small-Medium,<50k,74.0408529
5047,4,05047,0.2222160139,5,0.117,0.0560310243,0.8260413793,0.37,0.261,0.208,0.8608145837,Low,Low,47256,0.353,17897,0.1081196581,Low Unemployment,Small-Medium,<50k,73.997614703
5051,4,05051,0.1979476696,5,0.107,0.0796913924,0.3690327418,0.362,0.21,0.184,0.8935732362,Low,Low,46459,0.318,99789,0.1196775415,High Unemployment,Large,<50k,74.315747053
5059,4,05059,0.2051380709,5,0.111,0.0578014184,0.6596907937,0.368,0.227,0.189,0.8746219184,Low,Low,49582,0.318,33787,0.0920597927,Low Unemployment,Large,<50k,73.96822977
5061,4,05061,0.2599740636,5,0.127,0.049882523,0.6751758648,0.423,0.217,0.188,0.8601574085,Low,Low,40566,0.368,13109,0.1307164992,Low Unemployment,Small-Medium,<50k,73.488728951
5065,4,05065,0.180415779,5,0.106,0.0842672414,1,0.35,0.24,0.192,0.8198955916,Low,Low,41787,0.321,13613,0.108116954,High Unemployment,Small-Medium,<50k,74.501877771
5067,4,05067,0.2028732868,5,0.13,0.0714651202,0.6506084347,0.385,0.265,0.212,0.8323604374,Low,Low,40789,0.387,16636,0.0943973429,High Unemployment,Small-Medium,<50k,72.526377162
5069,4,05069,0.2153509644,5,0.148,0.080443828,0.3091625234,0.415,0.24,0.192,0.874049687,Low,Low,40588,0.372,65377,0.0799926668,High Unemployment,Large,<50k,72.417638038
5073,4,05073,0.1816252274,5,0.141,0.0764147047,1,0.399,0.26,0.206,0.7897879349,Low,Low,40007,0.386,6596,0.1200823893,High Unemployment,Small-Medium,<50k,74.226588427
5075,4,05075,0.2212675198,5,0.105,0.0614500442,0.635601493,0.383,0.24,0.198,0.8365248227,Low,Low,41188,0.34,16410,0.088088247,High Unemployment,Small-Medium,<50k,73.024843416
5077,4,05077,0.1774932456,5,0.157,0.0748663102,0.6350729087,0.421,0.254,0.195,0.7820434384,Low,Low,32502,0.385,8513,0.0936670459,High Unemployment,Small-Medium,<50k,71.623659571
5079,4,05079,0.1636279357,5,0.129,0.0597287428,1,0.41,0.248,0.186,0.7930619611,Low,Low,47903,0.36,12944,0.0994925214,Low Unemployment,Small-Medium,<50k,73.890622361
5081,4,05081,0.2219211823,5,0.119,0.0644382544,0.6852175233,0.389,0.229,0.192,0.897670169,Low,Low,47125,0.348,12180,0.0964144257,High Unemployment,Small-Medium,<50k,73.131180025
5083,4,05083,0.2120971509,5,0.111,0.0664279113,0.7101954995,0.379,0.238,0.196,0.86658411,Low,Low,43577,0.352,21410,0.1007181329,High Unemployment,Small-Medium,<50k,73.866892443
5089,4,05089,0.188147707,5,0.105,0.0644696849,1,0.358,0.229,0.192,0.8605348269,Low,Low,39888,0.316,16790,0.1090116279,High Unemployment,Small-Medium,<50k,74.702693226
5091,4,05091,0.2337355537,5,0.124,0.0687341968,0.4001196447,0.388,0.222,0.189,0.8566845642,Low,Low,43634,0.342,43177,0.0935523185,High Unemployment,Large,<50k,73.630370782
5093,4,05093,0.2606449359,5,0.136,0.0903035218,0.362672117,0.412,0.254,0.202,0.8205280332,Low,Low,47892,0.393,40066,0.0944683908,High Unemployment,Large,<50k,69.708038266
5095,4,05095,0.2176488457,5,0.144,0.0668871738,0.6897778869,0.423,0.259,0.205,0.7885783718,Low,Low,35833,0.393,6584,0.0957382347,High Unemployment,Small-Medium,<50k,69.687682491
5099,4,05099,0.2238547969,5,0.126,0.0585915493,0.6917861509,0.387,0.23,0.188,0.8951881015,Low,Low,41854,0.345,8099,0.0848997494,Low Unemployment,Small-Medium,<50k,74.943434877
5103,4,05103,0.2203133768,5,0.136,0.060278994,0.5635145482,0.392,0.242,0.198,0.8619954952,Low,Low,46374,0.374,23167,0.0855405032,High Unemployment,Small-Medium,<50k,72.694972309
5107,4,05107,0.2597838025,5,0.172,0.0905966885,0.4796617181,0.452,0.258,0.215,0.8157453936,Low,Low,35167,0.411,17299,0.0900477361,High Unemployment,Small-Medium,<50k,69.496224376
5111,4,05111,0.2376411974,5,0.116,0.0549450549,0.7113859171,0.388,0.256,0.204,0.8071649166,Low,Low,36150,0.358,23283,0.1068807827,Low Unemployment,Small-Medium,<50k,70.628773337
5113,4,05113,0.2233724057,5,0.119,0.0662673156,0.7338592585,0.353,0.245,0.202,0.8519760308,Low,Low,42915,0.338,19707,0.1475083056,High Unemployment,Small-Medium,<50k,74.533314075
5117,4,05117,0.2041174994,5,0.11,0.0534922395,1,0.368,0.232,0.193,0.8589548453,Low,Low,48478,0.328,7966,0.0962779156,Low Unemployment,Small-Medium,<50k,74.270201677
5121,4,05121,0.2427248315,5,0.117,0.0589736701,0.6742167066,0.388,0.251,0.206,0.8455035826,Low,Low,46495,0.359,18247,0.1161605436,Low Unemployment,Small-Medium,<50k,73.956838024
5123,4,05123,0.2099505713,5,0.152,0.0789735924,0.5155354236,0.424,0.246,0.194,0.8137293141,Low,Low,37759,0.387,24682,0.0899490168,High Unemployment,Small-Medium,<50k,74.252490839
5127,4,05127,0.2323888233,5,0.123,0.0447864033,0.7035520342,0.376,0.254,0.204,0.7962885447,Low,Low,41230,0.385,10164,0.1217303823,Low Unemployment,Small-Medium,<50k,73.20568479
5139,4,05139,0.2381276329,5,0.122,0.0830239406,0.5450419078,0.375,0.214,0.186,0.8639035418,Low,Low,47857,0.322,38219,0.091605264,High Unemployment,Large,<50k,71.706531282
5147,4,05147,0.212962963,5,0.131,0.0583392985,1,0.413,0.253,0.204,0.8257460248,Low,Low,37634,0.37,6264,0.0983744986,Low Unemployment,Small-Medium,<50k,72.516375398
6000,4,06000,0.2233086919,6,0.094,0.1013801157,0.0504738342,0.262,0.1009075769,0.1199810203,0.8392456399,High,High,83001,0.223,39368078,0.0893276532,High Unemployment,,>60k,81.007870536
6001,4,06001,0.2015077695,6,0.091,0.0877308748,0.0038860575,0.235,0.1,0.112,0.8881593852,High,High,113518,0.197,1662323,0.0510228237,High Unemployment,V Large,>60k,82.761800082
6005,4,06005,0.1506873238,6,0.09,0.0913061564,0.6042372214,0.294,0.142,0.137,0.9119719453,High,High,68141,0.227,40083,0.0746852808,High Unemployment,Large,>60k,79.745223954
6009,4,06009,0.1689124989,6,0.087,0.076342717,0.7540918864,0.301,0.15,0.145,0.8970509232,High,High,66329,0.213,46308,0.0788781502,High Unemployment,Large,>60k,79.459325712
6011,4,06011,0.2698302254,6,0.118,0.1595390037,0.3172417013,0.323,0.135,0.138,0.7282996866,High,High,59422,0.296,21558,0.1221956243,High Unemployment,Small-Medium,50-60k,79.607078717
6013,4,06013,0.2221588725,6,0.094,0.0887195708,0.0079273611,0.239,0.1,0.118,0.8989918949,High,High,106484,0.221,1152333,0.0646093456,High Unemployment,V Large,>60k,82.21643525
6017,4,06017,0.1961021122,6,0.079,0.0825326164,0.3469993041,0.26,0.123,0.129,0.9403276944,High,High,87792,0.19,192925,0.0620149382,High Unemployment,Large,>60k,81.910098041
6019,4,06019,0.2807532685,6,0.135,0.1128125014,0.1080520178,0.376,0.143,0.142,0.7727813634,High,High,61401,0.294,1000918,0.097249778,High Unemployment,V Large,>60k,78.012761791
6025,4,06025,0.2851104195,6,0.146,0.2248929628,0.1741783553,0.359,0.133,0.14,0.7018647597,High,High,47599,0.333,180267,0.0964570708,High Unemployment,Large,<50k,79.014441685
